,^BVSP,TAEE11.SA,PETR4.SA,BBDC4.SA,BBAS3.SA,GGBR4.SA,ITSA4.SA,VALE3.SA,USIM5.SA,B3SA3.SA
2015-11-03,48054.0,20.049999237060547,8.479999542236328,10.400431632995605,17.3799991607666,5.880000114440918,5.338365077972412,17.75,2.930000066757202,4.133333206176758
2015-11-04,47710.0,20.350000381469727,8.079999923706055,10.184049606323242,17.450000762939453,5.679999828338623,5.373907089233398,17.399999618530273,2.9100000858306885,4.103332996368408
2015-11-05,48047.0,20.440000534057617,8.109999656677246,10.461583137512207,18.299999237060547,5.789999961853027,5.459207057952881,16.950000762939453,2.9000000953674316,4.076665878295898
2015-11-06,46919.0,19.700000762939453,7.820000171661377,10.311057090759277,17.399999618530273,5.659999847412109,5.331256866455078,15.670000076293945,2.7699999809265137,4.0
2015-11-09,46195.0,19.100000381469727,7.909999847412109,10.080562591552734,17.15999984741211,5.559999942779541,5.2246317863464355,15.4399995803833,2.7200000286102295,4.026666164398193
2015-11-10,46179.0,19.450000762939453,7.610000133514404,10.028820037841797,17.1299991607666,5.550000190734863,5.2246317863464355,15.380000114440918,2.700000047683716,4.076665878295898
2015-11-11,47065.0,19.329999923706055,7.71999979019165,10.273425102233887,17.260000228881836,5.559999942779541,5.338365077972412,15.319999694824219,2.7899999618530273,4.166666030883789
2015-11-12,46884.0,19.450000762939453,7.579999923706055,10.268720626831055,17.209999084472656,5.230000019073486,5.3667988777160645,15.050000190734863,2.7799999713897705,4.073332786560059
2015-11-13,46517.0,19.649999618530273,7.269999980926514,10.118194580078125,17.06999969482422,5.230000019073486,5.2601728439331055,15.369999885559082,2.630000114440918,4.0
2015-11-16,46847.0,19.280000686645508,7.699999809265137,10.202865600585938,17.299999237060547,5.039999961853027,5.295714855194092,15.050000190734863,2.549999952316284,4.00333309173584
2015-11-17,47248.0,19.399999618530273,7.760000228881836,10.58388614654541,17.610000610351562,5.269999980926514,5.373907089233398,14.520000457763672,2.4600000381469727,4.03000020980835
2015-11-18,47436.0,19.3799991607666,7.820000171661377,10.668557167053223,17.739999771118164,5.349999904632568,5.4236650466918945,14.59000015258789,2.819999933242798,4.133333206176758
2015-11-19,48139.0,19.0,7.840000152587891,11.007241249084473,18.729999542236328,5.840000152587891,5.508965015411377,14.640000343322754,2.640000104904175,4.070000171661377
2015-11-23,48150.0,19.1299991607666,8.079999923706055,10.899049758911133,18.56999969482422,5.75,5.494749069213867,14.25,2.5199999809265137,4.150000095367432
2015-11-24,48284.0,18.760000228881836,8.5,10.823786735534668,18.600000381469727,6.130000114440918,5.516074180603027,14.470000267028809,2.619999885559082,4.046666145324707
2015-11-25,46867.0,18.329999923706055,7.900000095367432,10.296944618225098,17.399999618530273,6.25,5.25306510925293,14.0600004196167,2.5899999141693115,4.046666145324707
2015-11-26,47146.0,18.5,7.920000076293945,10.522733688354492,17.850000381469727,6.099999904632568,5.352581977844238,14.1899995803833,2.559999942779541,4.013332843780518
2015-11-27,45873.0,17.860000610351562,7.599999904632568,10.137009620666504,17.290000915527344,6.03000020980835,5.2246317863464355,13.300000190734863,2.5,3.9200000762939453
2015-11-30,45120.0,17.6200008392334,7.670000076293945,9.934741020202637,16.290000915527344,6.099999904632568,5.153547763824463,13.170000076293945,2.200000047683716,3.7899999618530273
2015-12-01,45047.0,17.59000015258789,7.489999771118164,9.87829303741455,16.290000915527344,5.920000076293945,5.281497955322266,12.84000015258789,2.0299999713897705,3.866666078567505
2015-12-02,44915.0,17.719999313354492,7.519999980926514,9.864180564880371,16.420000076293945,5.920000076293945,5.189089775085449,12.9399995803833,2.049999952316284,3.8399999141693115
2015-12-03,46393.0,18.0,7.980000019073486,10.296944618225098,17.799999237060547,6.019999980926514,5.402339935302734,12.869999885559082,2.069999933242798,3.933332920074463
2015-12-04,45361.0,18.0,7.519999980926514,10.1558256149292,17.31999969482422,5.440000057220459,5.345473766326904,12.350000381469727,1.9800000190734863,3.853332996368408
2015-12-07,45223.0,18.010000228881836,7.190000057220459,10.052338600158691,17.25,5.300000190734863,5.288607120513916,12.210000038146973,1.899999976158142,3.8499999046325684
2015-12-08,44443.0,17.329999923706055,7.130000114440918,9.831254005432129,17.079999923706055,4.989999771118164,5.25306510925293,11.649999618530273,1.7999999523162842,3.7833330631256104
2015-12-09,46108.0,17.200000762939453,7.650000095367432,10.325167655944824,18.799999237060547,4.940000057220459,5.516074180603027,12.079999923706055,1.8300000429153442,3.993333101272583
2015-12-10,45631.0,17.200000762939453,7.449999809265137,9.87829303741455,18.0,5.0,5.4165568351745605,12.670000076293945,1.850000023841858,3.990000009536743
